Huerfano County,6.3,8.7,27.4,37.9,26.0,153456
Jackson County,4.4,12.2,37.2,31.5,19.1,138881
Jefferson County,3.9,5.8,20.9,31.0,42.2,205423
Kiowa County,5.3,7.1,35.2,37.5,20.2,63903
Kit Carson County,2.1,16.5,38.1,31.7,13.8,145414
Lake County,7.8,7.2,33.6,28.3,30.9,81761
La Plata County,2.9,5.2,19.3,32.5,43.0,398382
Larimer County,2.8,4.3,19.4,31.0,45.3,397354
Las Animas County,5.0,14.2,29.6,37.2,18.9,162949
Lincoln County,4.6,14.8,49.7,21.8,13.7,215167
Logan County,10.2,10.7,34.2,38.4,16.7,88590
Mesa County,5.3,10.2,29.3,34.5,26.1,252653
Mineral County,6.0,3.4,21.0,33.1,42.5,122552
Moffat County,4.0,8.9,39.9,32.3,18.9,188972
Montezuma County,5.0,9.8,29.5,33.6,27.0,221025
Montrose County,4.1,11.2,32.1,32.9,23.8,226163
Morgan County,4.4,19.0,31.8,33.1,16.1,182401
Otero County,6.1,14.2,28.4,40.2,17.1,120983
Ouray County,3.7,2.2,18.2,25.1,54.5,469749
Park County,4.7,3.7,26.0,39.8,30.5,246831
Phillips County,5.3,10.9,32.4,36.3,20.4,129078
Pitkin County,3.4,4.6,13.8,21.2,60.4,662964
Prowers County,3.2,17.4,27.6,39.7,15.4,105431
Pueblo County,4.8,11.8,29.3,37.7,21.2,187518
Rio Blanco County,5.0,8.2,33.6,36.4,21.8,224488
Rio Grande County,4.9,16.6,27.4,33.4,22.6,159710
Routt County,2.6,3.5,21.6,25.5,49.4,514423
Saguache County,4.9,19.2,26.3,29.1,25.5,167640
San Juan County,4.6,4.6,32.6,34.4,28.4,505740
San Miguel County,7.7,6.8,14.8,23.3,55.1,136260
Sedgwick County,4.6,8.8,33.8,37.6,19.8,150616
Summit County,3.1,5.3,17.0,27.7,49.9,628648
Teller County,3.7,5.6,25.4,36.4,32.6,295633
Washington County,3.3,8.7,34.1,41.2,16.0,248821
Weld County,3.4,13.0,27.0,33.3,26.8,333103
Yuma County,2.1,12.9,33.1,32.6,21.4,166188
Connecticut,5.1,9.9,27.3,24.8,38.0,0
Fairfield County,7.2,10.1,22.4,21.2,46.4,106809
Hartford County,5.4,10.7,27.2,25.2,36.9,248011
Litchfield County,4.7,8.3,29.5,28.2,34.0,267324
Middlesex County,3.9,6.2,27.2,25.7,40.9,254107
New Haven County,5.5,10.5,30.3,24.9,34.3,251601
New London County,5.1,8.4,30.8,28.3,32.4,242504
Tolland County,4.5,6.2,27.1,27.9,38.9,250686
Windham County,3.3,11.9,33.3,30.9,23.9,221518
Delaware,4.5,11.2,31.1,27.2,30.5,0
Kent County,3.0,13.1,33.6,30.2,23.1,75724
New Castle County,4.4,9.5,28.9,26.1,35.4,276686
Sussex County,6.3,13.8,34.7,27.6,23.9,130552
District of Columbia,6.1,10.0,18.0,16.6,55.4,644349
District of Columbia,6.1,10.0,18.0,16.6,55.4,644349
Florida,4.8,12.8,29.2,30.1,27.9,0
Alachua County,4.3,7.5,21.9,29.1,41.5,186443
Baker County,6.3,17.9,41.5,27.8,12.8,160150
Bay County,5.4,11.3,30.6,35.6,22.5,111250
Bradford County,6.5,23.2,34.8,30.2,11.8,151830
Brevard County,5.1,8.8,28.9,34.6,27.7,213006
Broward County,4.5,11.7,27.3,30.0,31.0,287165
Calhoun County,12.8,23.1,39.9,26.5,10.5,82498
Charlotte County,5.1,10.6,34.2,33.6,21.6,109970
Citrus County,6.7,13.3,37.5,31.3,17.8,139558
Clay County,10.4,9.2,30.7,36.2,23.9,78637
Collier County,4.7,14.3,26.2,25.6,33.9,384575
Columbia County,3.6,13.8,36.1,34.2,15.9,195427
DeSoto County,4.2,29.5,40.7,19.8,10.0,185279
Dixie County,5.4,22.2,43.2,28.1,6.4,77520
Duval County,10.9,11.1,28.0,32.8,28.1,52094
Escambia County,4.9,10.1,28.2,36.9,24.9,158976
Flagler County,5.5,8.9,33.4,34.3,23.3,0
Franklin County,7.3,20.4,35.8,27.1,16.7,235602
Gadsden County,6.2,21.2,35.6,25.7,17.5,109867
Gilchrist County,5.0,17.3,39.3,31.0,12.3,104516
Glades County,6.2,25.6,44.0,21.5,8.9,86723
Gulf County,4.6,17.5,35.7,30.1,16.7,163918
Hamilton County,4.9,25.0,38.5,26.3,10.2,116539
Hardee County,6.6,31.1,40.4,18.9,9.6,87914
Hendry County,8.5,37.1,31.7,22.1,9.1,86290
Hernando County,6.0,13.0,36.6,34.0,16.4,160168
Highlands County,6.5,16.7,36.9,29.9,16.5,108485
Hillsborough County,3.0,12.2,27.2,29.2,31.4,301976
Holmes County,3.6,21.7,37.6,28.3,12.3,197284
Indian River County,6.0,12.4,30.2,30.3,27.2,215361
Jackson County,4.4,21.6,35.5,29.2,13.7,138881
Jefferson County,3.9,20.2,32.6,28.2,19.0,205423
Lafayette County,3.2,25.2,37.3,23.8,13.6,135876
Lake County,7.8,12.2,33.5,32.6,21.7,81761
Lee County,6.9,13.0,30.7,29.5,26.7,83577
Leon County,6.5,7.4,18.6,28.8,45.2,109880
Levy County,5.2,18.1,41.3,29.4,11.2,96034
Liberty County,7.5,20.9,46.5,20.2,12.5,106766
Madison County,3.2,17.3,38.6,31.8,12.3,262393
Manatee County,4.5,11.5,30.9,29.7,27.9,254020
Marion County,6.5,13.6,37.2,30.9,18.4,113680
Martin County,4.4,10.0,26.1,32.4,31.5,129428
Miami-Dade County,5.3,19.4,28.4,25.0,27.3,317347
Monroe County,3.8,9.0,28.8,31.1,31.1,154658
Nassau County,3.9,9.1,34.9,31.5,24.5,518794
Okaloosa County,4.0,8.7,25.5,36.3,29.4,225885
Okeechobee County,5.1,28.1,37.9,23.2,10.7,97333
Orange County,4.1,12.3,25.7,30.0,31.9,240604
Osceola County,5.7,14.3,33.6,33.4,18.7,98745
Palm Beach County,4.7,12.1,25.1,28.6,34.2,311619
Pasco County,5.1,11.7,33.2,32.5,22.5,181269
Pinellas County,4.3,9.6,29.1,31.8,29.5,221451
Polk County,4.6,16.0,35.9,28.6,19.5,169898
Putnam County,4.9,21.6,38.2,27.5,12.7,156578
St. Johns County,3.8,5.3,21.2,30.9,42.5,330940
St. Lucie County,5.8,14.2,33.2,32.8,19.8,200737
Santa Rosa County,4.5,9.8,27.4,35.9,26.9,213110
Sarasota County,4.5,7.4,29.8,29.7,33.1,274763
Seminole County,6.9,6.6,23.4,34.1,35.8,72799
Sumter County,5.8,9.5,30.4,30.4,29.8,141754
Suwannee County,4.9,20.9,40.0,27.1,12.0,100040
Taylor County,4.1,21.3,41.1,27.8,9.8,138773
Union County,5.8,25.6,39.6,27.1,7.6,122930
Volusia County,5.0,10.7,33.5,33.4,22.4,192140
Wakulla County,4.1,12.3,37.4,33.7,16.6,145007
Walton County,4.9,15.1,26.5,32.1,26.3,209855
Washington County,3.3,20.2,41.8,27.0,11.0,248821
Georgia,5.4,14.2,28.1,28.3,29.4,0
Appling County,6.4,23.6,40.8,23.7,11.9,76742
Atkinson County,5.2,32.1,40.1,21.2,6.7,66524
Bacon County,5.2,19.9,41.0,25.9,13.2,77912
Baker County,6.3,21.2,41.5,26.2,11.0,160150
Baldwin County,6.8,18.3,37.0,26.2,18.4,115804
Banks County,4.8,24.6,42.9,21.5,11.0,137198
Barrow County,4.7,18.0,33.7,31.6,16.8,175234
Bartow County,5.1,18.4,34.4,28.7,18.5,185317
Ben Hill County,8.2,18.8,43.1,27.5,10.6,86427
Berrien County,5.0,19.7,38.8,29.2,12.3,163185
Bibb County,5.9,15.7,32.2,27.5,24.6,124269
Bleckley County,7.9,14.8,42.3,25.1,17.7,105160
Brantley County,6.7,19.8,45.6,25.1,9.5,73725
Brooks County,11.8,21.0,38.5,28.1,12.4,66486
Bryan County,4.3,9.6,25.8,31.3,33.3,101120
Bulloch County,5.7,13.4,27.6,30.8,28.2,144117
Burke County,4.5,22.7,38.2,28.7,10.4,117377
Butts County,5.6,22.8,44.5,22.5,10.2,136131
Calhoun County,12.8,24.0,40.2,25.5,10.3,82498
Camden County,5.2,9.0,32.5,35.9,22.6,238099
Candler County,4.8,24.7,35.9,25.1,14.2,94304
Carroll County,5.2,18.9,35.2,27.8,18.2,109765
Catoosa County,4.8,14.4,31.8,34.2,19.7,148503
Charlton County,5.6,19.1,46.3,25.6,9.0,87492
Chatham County,4.2,10.7,25.0,31.4,32.9,305573
Chattahoochee County,8.2,9.8,26.7,33.4,30.1,85366
Chattooga County,6.3,27.5,39.2,24.5,8.9,72910
Cherokee County,5.1,10.2,24.1,30.2,35.5,105476
Clarke County,3.6,13.8,21.4,24.1,40.8,353479
Clay County,10.4,17.7,46.0,28.9,7.4,78637
Clayton County,4.2,16.4,31.8,32.7,19.0,123043
Clinch County,6.2,23.6,38.6,23.4,14.4,67162
Cobb County,4.6,8.8,19.0,27.2,45.0,284923
Coffee County,4.7,21.3,39.5,26.1,13.1,128467
Colquitt County,5.2,27.5,37.0,22.6,12.9,89940
Columbia County,3.6,8.1,24.5,32.3,35.1,195427
Cook County,4.5,23.6,39.0,23.5,13.8,260022
Coweta County,5.0,11.4,31.2,29.3,28.1,239546
Crawford County,4.9,19.5,37.6,29.9,13.1,136305
Crisp County,6.0,20.3,37.8,26.7,15.1,89301
Dade County,4.5,19.9,36.1,30.2,13.8,79552
Dawson County,5.0,13.5,29.0,27.6,29.8,71320
Decatur County,6.9,20.5,33.9,28.7,16.9,99943
DeKalb County,5.6,11.4,20.9,26.0,41.7,142729
Dodge County,3.6,18.5,42.4,25.6,13.5,176767
Dooly County,5.8,25.5,40.1,23.2,11.3,88556
Dougherty County,6.8,17.8,28.4,34.0,19.8,100916
Douglas County,5.2,11.7,31.4,30.7,26.1,149386
Early County,6.9,20.2,40.6,25.1,14.1,88024
Echols County,4.3,33.0,35.3,23.8,7.9,58680
Effingham County,4.7,13.8,36.9,31.0,18.3,140273
Elbert County,6.5,21.5,45.3,21.5,11.7,87066
Emanuel County,7.7,22.2,40.2,25.9,11.7,83554
Evans County,4.9,22.9,39.7,22.3,15.1,88982
Fannin County,3.8,17.0,38.8,26.5,17.7,105476
Fayette County,7.9,5.4,20.7,28.1,45.8,89209
Floyd County,4.1,20.3,31.0,28.9,19.8,157334
Forsyth County,4.9,7.8,17.6,26.3,48.3,170423
Franklin County,7.3,23.4,40.0,23.9,12.6,235602
Fulton County,6.3,8.7,18.1,23.4,49.8,162675
Gilmer County,8.2,19.7,35.9,26.6,17.8,94579
Glascock County,6.0,21.4,43.3,27.0,8.2,70887
Glynn County,5.3,12.4,27.6,31.8,28.2,184528
Gordon County,5.6,24.6,35.3,27.2,12.9,127193
Grady County,5.0,22.9,37.2,27.1,12.8,122622
Greene County,3.3,17.7,33.5,24.1,24.7,257935
Gwinnett County,4.7,12.5,23.3,29.3,34.9,246492
Habersham County,5.3,21.7,34.2,26.5,17.5,146032
Hall County,6.7,22.7,27.7,27.1,22.5,52308
