County Name,Median Home Price Q2 2017,Monthly Payment (r=4.5%),Monthly Payment (r=5.0%),Monthly Payment (r=5.5%)
Christian County,"89,395",408,432,457
Clark County,"89,293",407,431,456
Clay County,"78,872",360,381,403
Clinton County,"151,707",692,733,775
Coles County,"95,831",437,463,490
Cook County,"260,542","1,188","1,259","1,331"
Crawford County,"84,695",386,409,433
Cumberland County,"96,035",438,464,491
DeKalb County,"178,675",815,863,913
De Witt County,"100,122",457,484,512
Idaho Illinois,,,,
Douglas County,"104,924",478,507,536
DuPage County,"324,941","1,482","1,570","1,660"
Edgar County,"81,732",373,395,418
Edwards County,"75,092",342,363,384
Effingham County,"140,273",640,678,717
Fayette County,"85,819",391,415,439
Ford County,"104,939",479,507,536
Franklin County,"71,414",326,345,365
Fulton County,"86,636",395,419,443
Gallatin County,"73,048",333,353,373
Greene County,"78,565",358,380,401
Grundy County,"198,142",904,957,"1,013"
Hamilton County,"93,481",426,452,478
Hancock County,"86,943",396,420,444
Hardin County,"64,568",294,312,330
Henderson County,"90,008",410,435,460
Henry County,"119,651",546,578,611
Iroquois County,"98,896",451,478,505
Jackson County,"110,952",506,536,567
Jasper County,"101,144",461,489,517
Jefferson County,"94,707",432,458,484
Jersey County,"143,745",655,694,735
Jo Daviess County,"146,403",668,707,748
Johnson County,"98,692",450,477,504
Kane County,"249,599","1,138","1,206","1,275"
Kankakee County,"161,670",737,781,826
Kendall County,"251,703","1,148","1,216","1,286"
Knox County,"83,469",381,403,427
Lake County,"276,326","1,260","1,335","1,412"
LaSalle County,"138,230",630,668,706
Lawrence County,"73,968",337,357,378
Lee County,"119,023",543,575,608
Livingston County,"111,871",510,540,572
Logan County,"103,493",472,500,529
McDonough County,"96,648",441,467,494
McHenry County,"239,812","1,094","1,159","1,225"
McLean County,"167,069",762,807,854
Macon County,"96,003",438,464,491
Macoupin County,"104,464",476,505,534
Madison County,"139,710",637,675,714
Marion County,"73,457",335,355,375
Marshall County,"101,865",465,492,521
Mason County,"82,754",377,400,423
Massac County,"84,286",384,407,431
Menard County,"134,724",614,651,688
Mercer County,"108,595",495,525,555
Monroe County,"207,549",946,"1,003","1,061"
Illinois,,,,
Montgomery County,"82,754",377,400,423
Morgan County,"105,639",482,510,540
Moultrie County,"109,828",501,531,561
Ogle County,"142,929",652,691,730
Peoria County,"129,082",589,624,660
Perry County,"82,243",375,397,420
Piatt County,"133,625",609,646,683
Pike County,"76,318",348,369,390
Pope County,"85,921",392,415,439
Pulaski County,"64,875",296,313,332
Putnam County,"123,416",563,596,631
Randolph County,"102,063",465,493,522
Richland County,"85,002",388,411,434
Rock Island County,"121,200",553,586,619
St. Clair County,"136,419",622,659,697
Saline County,"72,027",328,348,368
Sangamon County,"142,452",650,688,728
Schuyler County,"85,206",389,412,435
Scott County,"89,395",408,432,457
Shelby County,"88,680",404,428,453
Stark County,"84,411",385,408,431
Stephenson County,"99,816",455,482,510
Tazewell County,"138,450",631,669,707
Union County,"100,735",459,487,515
Vermilion County,"76,440",349,369,391
Wabash County,"80,711",368,390,412
Warren County,"85,717",391,414,438
Washington County,"110,441",504,534,564
Wayne County,"80,302",366,388,410
White County,"71,209",325,344,364
Whiteside County,"104,413",476,504,534
Will County,"242,338","1,105","1,171","1,238"
Williamson County,"129,341",590,625,661
Winnebago County,"126,804",578,613,648
Woodford County,"158,073",721,764,808
Adams County,"127,800",583,617,653
Allen County,"147,076",671,711,752
Bartholomew County,"156,045",712,754,797
Benton County,"92,669",423,448,474
Blackford County,"73,628",336,356,376
Boone County,"242,963","1,108","1,174","1,242"
Brown County,"191,651",874,926,979
Carroll County,"135,456",618,654,692
Cass County,"90,395",412,437,462
Clark County,"147,272",672,712,753
Clay County,"104,076",475,503,532
Clinton County,"111,462",508,539,570
Illinois Indiana,,,,
Crawford County,"93,190",425,450,476
Daviess County,"124,038",566,599,634
Dearborn County,"173,457",791,838,886
Decatur County,"130,917",597,633,669
DeKalb County,"122,104",557,590,624
Delaware County,"100,461",458,485,513
Dubois County,"156,929",716,758,802
